Date,Open,High,Low,Close,Volume,next_close_is_high,next_close_is_low
8-May-07,472.25,475.5,466,467.25,3662909,0,1
4-May-07,466,478.75,466,473.75,38326416,0,1
3-May-07,461,464.5,457.5,463.75,23259712,1,0
2-May-07,463,464,454.25,461.25,33500741,1,0
1-May-07,462.5,462.5,455,457,26941008,1,0
30-Apr-07,462,466.75,461,462.5,31719148,0,1
27-Apr-07,466.25,469,461.25,461.75,26180875,1,0
26-Apr-07,464.5,468.5,461.5,467.5,37002267,0,1
25-Apr-07,467,471,459.5,460,48642258,1,0
24-Apr-07,469.5,469.5,461.5,465.75,21421059,0,1
23-Apr-07,462.75,469.75,461.75,466.5,28053017,0,1
20-Apr-07,466,469,462.5,463.5,47297718,1,0
19-Apr-07,455.25,466.25,453.25,463.5,45694554,0,0
18-Apr-07,462,464.75,455.25,457.75,40823636,1,0
17-Apr-07,464.75,467.75,458.5,461.75,57946243,0,1
16-Apr-07,456.25,458,452.25,455.75,26268643,1,0
13-Apr-07,454.75,457.75,452,456.25,24114148,0,1
12-Apr-07,454.75,456,451.25,454.25,27742430,1,0
11-Apr-07,455.25,461,455,456,39866320,0,1
10-Apr-07,461.25,461.25,454,455.5,19224983,1,0
5-Apr-07,458,458.5,453.5,458.25,20262145,0,1
4-Apr-07,453,457.75,451.25,457,25895668,1,0
3-Apr-07,452.75,455,447.5,451.5,20345922,1,0
2-Apr-07,445.25,450.5,443.5,449,25283131,1,0
30-Mar-07,445.75,447.5,441,444.25,19584655,1,0
29-Mar-07,440.25,446,439.25,445,29814650,0,1
28-Mar-07,442.75,444.75,436.75,440.25,21224549,1,0
27-Mar-07,441,444.75,440.75,442.5,28992268,0,1
26-Mar-07,439.25,442.25,436,438.5,26277763,1,0
23-Mar-07,441.25,442.75,438,439.25,22473507,0,1
22-Mar-07,446.75,448.75,438.5,440.75,46676164,0,1
21-Mar-07,436.25,443.25,436.25,442.75,48363134,0,1
20-Mar-07,435.75,438.75,432.25,435.75,36837157,1,0
19-Mar-07,434.5,436.75,430,435.75,27588728,0,0
16-Mar-07,427,433,426.25,431.75,48582528,1,0
15-Mar-07,422,429.75,419,427,36158470,1,0
14-Mar-07,423,425.75,416,417.25,39917298,1,0
13-Mar-07,431.25,431.25,425,425,27624149,0,1
12-Mar-07,445,446.5,431,431.25,60023623,0,1
9-Mar-07,433.75,447,432.25,441.5,35463172,0,1
8-Mar-07,435.5,437.25,431.25,434.25,32861545,1,0
7-Mar-07,434,437,432,435.5,34804619,0,1
6-Mar-07,428.5,431,422.25,430.75,47404239,1,0
5-Mar-07,425.25,428,419.75,425.25,29189148,1,0
2-Mar-07,427.5,432.25,425,431.75,47438614,0,1
1-Mar-07,430.75,435,420,423,60574814,1,0
28-Feb-07,438,442,431,432,56184771,0,1
27-Feb-07,447,449.25,439.25,442.25,33288580,0,1
26-Feb-07,446.5,448.5,444,448,21100285,0,1
23-Feb-07,448,450,443.5,446,29089897,1,0
22-Feb-07,443,448.25,441.75,445.75,28345416,1,0
21-Feb-07,447.75,448.5,440,440.75,21378430,1,0
20-Feb-07,447.75,449,445,445.75,20506386,0,1
19-Feb-07,447,448.25,444.5,446.75,20316654,0,1
16-Feb-07,440.5,447.5,440.5,445,50698590,1,0
15-Feb-07,438.25,444,435.75,442.75,29551387,1,0
14-Feb-07,439.5,439.5,431.5,437,21944643,1,0
13-Feb-07,435,438.25,434,436.5,27293112,1,0
12-Feb-07,433.25,436.25,429,434.75,17357297,1,0
9-Feb-07,430.25,435.25,430.25,433,18144391,1,0
8-Feb-07,438.25,438.5,428.25,429.5,25816850,1,0
7-Feb-07,438,438.75,432.5,435,54001532,0,1
6-Feb-07,435,448,435,438.25,70668714,0,1
5-Feb-07,436.25,437.75,431,433.75,30229091,1,0
2-Feb-07,418.75,456,418.25,435,134850583,0,1
1-Feb-07,420.5,422.25,417.5,419.5,35193370,1,0
31-Jan-07,419.75,421.25,417.25,418,35352264,1,0
30-Jan-07,414.5,421,414,418.5,26213402,0,1
29-Jan-07,409.5,415,408,413.75,29301134,1,0
26-Jan-07,411.75,414.25,410,410.25,28282375,1,0
25-Jan-07,417,417.5,412.5,412.5,25866433,0,1
24-Jan-07,415.25,417.25,413.75,416,31134492,0,1
23-Jan-07,415.75,417,413.25,415.25,22408515,1,0
22-Jan-07,412.5,416.25,412.5,413.75,24776402,1,0
19-Jan-07,412.75,416,410.75,414,23995949,0,1
18-Jan-07,417,417.5,412.75,414,28526909,0,0
17-Jan-07,416.25,419.25,412,415,30191808,0,1
16-Jan-07,416.75,423.5,413,415.5,41251851,0,1
15-Jan-07,418.75,421.75,415,419.75,16403240,0,1
12-Jan-07,419.5,421.5,417.75,418.5,20416736,1,0
11-Jan-07,419.25,422.5,412.25,418.5,37495915,0,0
10-Jan-07,418.75,422,416.75,418.5,38751027,0,0
9-Jan-07,427,427,417.5,421,36290972,0,1
8-Jan-07,420.5,427,419.75,424.5,49983098,0,1
5-Jan-07,416.75,427.5,416,421.75,57576586,1,0
4-Jan-07,408.25,418.5,408.25,416.75,37064146,1,0
3-Jan-07,411.25,413.25,407.25,411.25,20645555,1,0
2-Jan-07,405,411.5,401.75,410.25,19376388,1,0
29-Dec-06,404.5,410,402.75,404.5,18878089,1,0
28-Dec-06,407.75,409.75,403,406.5,11110427,0,1
27-Dec-06,405.5,411.25,399.5,409.75,12367916,0,1
22-Dec-06,400,404.75,400,402.75,13593417,1,0
21-Dec-06,400.5,401.75,400,401,16211566,1,0
20-Dec-06,405,405.25,400.75,401.5,21677547,0,1
19-Dec-06,404,404.25,401,403,45470632,0,1
18-Dec-06,400,406.5,397.25,405,43789198,0,1
15-Dec-06,393.5,399.75,392.5,399.25,69838580,1,0
14-Dec-06,391.25,395.25,391.25,394.5,27305800,1,0
13-Dec-06,388.5,393.75,387.25,391.25,36114781,1,0
12-Dec-06,387.25,393.5,385.25,389.5,32246635,1,0
11-Dec-06,388.75,388.75,384.5,385.75,21653730,1,0
8-Dec-06,385,389,383,387,32983111,0,1
7-Dec-06,389.25,392.5,383.25,384.5,49689854,1,0
6-Dec-06,393.5,394.75,389.25,391,26967531,0,1
5-Dec-06,392.75,395.5,388.75,393.5,72186805,0,1
4-Dec-06,392.5,398.5,390,397.5,28695970,0,1
1-Dec-06,394,399.25,391.25,392.75,48263158,1,0
30-Nov-06,394,400.75,390.75,391.25,45127654,1,0
29-Nov-06,391,395,387.25,392.5,31202488,0,1
28-Nov-06,396,398.5,389.5,390.25,39479166,1,0
27-Nov-06,398,399.75,394.75,394.75,26683503,0,1
24-Nov-06,397.25,399,393.25,398,21732277,0,1
23-Nov-06,398,399.25,396.25,398.75,21478874,0,1
22-Nov-06,397.75,400.5,396,396.5,31339553,1,0
21-Nov-06,399,400,397.25,397.75,15697695,0,1
20-Nov-06,399.75,400.75,394.75,397.75,19483186,0,0
17-Nov-06,398.5,402.25,395.75,400.25,29736928,0,1
16-Nov-06,398.75,400,395.75,397.25,33114436,1,0
15-Nov-06,396.25,400,394.25,399,42138473,0,1
14-Nov-06,397.5,399.25,393.5,393.75,35349404,1,0
13-Nov-06,398,400.25,394.25,395.25,23052705,0,1
10-Nov-06,394.75,398.5,392,397.25,62780208,0,1
9-Nov-06,400,401.25,393.5,394.75,53247640,1,0
8-Nov-06,398.75,402.25,395.5,401,37693290,0,1
7-Nov-06,403.25,406,402,403,31179319,0,1
6-Nov-06,406,406,401.5,403.5,22799740,0,1
3-Nov-06,404.75,407.25,403.5,405,40229756,0,1
2-Nov-06,394.5,404.75,394.5,403.5,45613678,1,0
1-Nov-06,393.75,399,393.75,397.5,50721692,1,0
31-Oct-06,392,395,391,393.5,20472775,1,0
30-Oct-06,399.75,400.75,392.25,393.5,58947972,0,0
27-Oct-06,401,405,399,401,36695266,0,1
26-Oct-06,397,401.5,397,400.5,35344942,1,0
25-Oct-06,391.5,397.25,391.5,396.25,32069213,1,0
24-Oct-06,388.5,391.75,387.75,391.5,24905393,1,0
23-Oct-06,392,392,387.25,388.75,14423770,1,0
20-Oct-06,387,390.75,387,390.75,31916630,0,1
19-Oct-06,390.25,392,386,387.25,24362266,1,0
18-Oct-06,386.5,393.5,384.5,390,51962319,0,1
17-Oct-06,381.75,385.25,379.5,384,24635326,1,0
16-Oct-06,382,383,378.5,381,30591635,1,0
13-Oct-06,383.25,384,380,381,26995328,0,0
12-Oct-06,386,387,378.75,382.5,31980480,0,1
11-Oct-06,383,386,381,386,33868197,0,1
10-Oct-06,385.75,387,383.25,385.5,36987889,1,0
9-Oct-06,378.75,387,377.25,384,27365183,1,0
6-Oct-06,384.75,384.75,379.5,380,32613739,1,0
5-Oct-06,387,387,380.5,382.5,39770302,0,1
4-Oct-06,375,384.75,374.25,384.75,58796502,0,1
3-Oct-06,365.75,374,365.75,373.25,59310079,1,0
2-Oct-06,360,367,359,365.5,43762951,1,0
29-Sep-06,367.5,367.5,357.75,360,54877205,1,0
28-Sep-06,367.5,369,365,366.5,24869814,0,1
27-Sep-06,367,368,364.5,365.75,30861451,1,0
26-Sep-06,367.75,369.25,364.75,367,30072195,0,1
25-Sep-06,370.25,371.5,366.75,367,20683692,0,0
22-Sep-06,373.75,375,369,370,19705669,0,1
21-Sep-06,372.25,377.25,370.75,376.75,33315793,0,1
20-Sep-06,371.25,374,367.75,372.25,29756119,1,0
19-Sep-06,377,377,370.25,371.25,34247061,1,0
18-Sep-06,374.5,378.5,373,376.75,37426227,0,1
15-Sep-06,366.5,376,366.5,375.75,61067351,1,0
14-Sep-06,368.5,373,366.5,367.75,26556221,1,0
13-Sep-06,374,374,368.25,368.5,20820979,0,1
12-Sep-06,371,372,368.75,371.75,19999643,0,1
11-Sep-06,369,371.5,368.25,369.75,27123915,1,0
8-Sep-06,370,374.5,368.25,369,28859859,1,0
7-Sep-06,370,374.25,369.5,370.5,38560891,0,1
6-Sep-06,372.25,374.25,370.25,371,36795387,0,1
5-Sep-06,379.25,379.25,370.5,375,40215212,0,1
4-Sep-06,380.5,383,378,380,36680639,0,1
1-Sep-06,379,382.25,376.75,380,31168814,0,0
31-Aug-06,376.75,379.5,375,377.25,31833769,1,0
30-Aug-06,372.75,377.25,371,376,29023816,1,0
29-Aug-06,369.75,371.75,367.75,371,26815579,1,0
25-Aug-06,368.5,369.5,366,368,11378831,1,0
24-Aug-06,369,370.5,366.5,368,31542017,0,0
23-Aug-06,371.75,371.75,364.25,367.25,42693828,1,0
22-Aug-06,372.75,374.5,368.75,370,17725635,0,1
21-Aug-06,372.75,374,368.75,372.5,21284606,0,1
18-Aug-06,376.5,376.5,370.5,372,28239869,1,0
17-Aug-06,376.5,377.25,373.25,375,38658572,0,1
16-Aug-06,377,378.5,373,374.5,45449642,1,0
15-Aug-06,370,378.25,369.25,377.5,41625733,0,1
14-Aug-06,374.25,375,369.75,370.75,28763311,1,0
11-Aug-06,364.75,375.25,364.75,373.25,53509589,0,1
10-Aug-06,358.25,367.25,357,365,38424412,1,0
9-Aug-06,365.25,366,359.5,361,30545314,1,0
8-Aug-06,363.25,367.75,362.25,364,47188749,0,1
7-Aug-06,361.75,363.75,360.5,362,36888925,1,0
4-Aug-06,363,368,360.25,364.25,27003936,0,1
3-Aug-06,364,367.75,358.5,360.5,56723039,1,0
2-Aug-06,358.25,365,358.25,363,52311235,0,1
1-Aug-06,361,361,356,356.5,36410871,1,0
31-Jul-06,365,365,359.5,359.5,39724587,0,1
28-Jul-06,363.25,365.25,361.5,364.5,36060328,0,1
27-Jul-06,364.5,367.5,363.25,363.75,70684177,1,0
26-Jul-06,359,364,357.75,363.5,66476762,1,0
25-Jul-06,360,360.25,355.25,357.5,56823115,1,0
24-Jul-06,355.75,360.25,355.75,360.25,33912321,0,1
21-Jul-06,351,360.25,350.5,355.75,85097240,1,0
20-Jul-06,347,351,346.5,351,71826096,1,0
19-Jul-06,346.75,347,343.25,346.5,49102232,1,0
18-Jul-06,346.5,349,342.25,345.25,55925530,1,0
17-Jul-06,347,349,344.75,347.5,45907001,0,1
14-Jul-06,343,348.75,341.75,347,86396711,1,0
13-Jul-06,341,346,338.75,345,51681849,1,0
12-Jul-06,344.25,346,341.25,342,31592284,1,0
11-Jul-06,346.75,347.75,342,342.75,20888202,0,1
10-Jul-06,344,348.25,343.25,348,35608500,0,1
7-Jul-06,345.25,346.75,342.75,343.5,54163017,1,0
6-Jul-06,339,347.75,338,347.25,56641343,0,1
5-Jul-06,339,341.25,337.25,339,27412205,1,0
4-Jul-06,340.5,340.5,336,340.25,20696509,0,1
3-Jul-06,335.25,340,334.75,340,30221674,1,0
30-Jun-06,334,337,331.25,334,43393425,1,0
29-Jun-06,331.75,331.75,328.25,330.5,40523736,1,0
28-Jun-06,330.75,335.71,327.45,328.5,41527638,1,0
27-Jun-06,332,333.44,328,331,60150995,0,1
26-Jun-06,328.25,331.44,327,330,41277771,1,0
23-Jun-06,327.75,330.43,326.15,327.5,39451379,1,0
22-Jun-06,333,333.36,326.56,327,22323230,1,0
21-Jun-06,329.5,331.48,325.82,329.5,30892057,0,1
20-Jun-06,329.75,330,326,328,27788162,1,0
